# Id DMS EP Mefa Oops DS EPL OopsL DSL ES
S190124 A A A B A A x C B
S190190 A A A B C A x D B
S190216 x x B B B x x x B
S190221 A A A A x x x A D
S190228 x B A C A A A B B
S190231 x A B B D x x C E
S190252 x A A A C x x C B
S190273 x A A B B x x C D
S190311 x B x A B A x D A
S190314 A A A B C x x E C
S190325 A C A D D A A D E
S190328 A C A D D A A E B
S190326 x x x B B x x B B
S190331 x B A B B A x D A
S190400 x x x B B x x B B
S190406 x x x x A x x x C
S190477 x B A B C A x B D
S190513 x x x A A x x C B
S190521 x A x B B x x B C
S190528 x x x A A x x A C
S190541 x A A B C x x C D
S190558 x x A A B x x B C
S190571 x x A A A x x x x
S190579 x A A A x x x A C
S190597 x B A B C x x D A
S190603 x A A B A x x A B
S190610 x x A B x x A C x
S190637 x x A B A x x x C
S190642 x x x x x x x x B
S190667 x B A A C x x B B
S190723 x A A A A A x C A
S190736 A C A D R A B C R
S190749 x D C D R x B D E
S190772 C C B D R B A E D
S190783 x A x B x x x x A
S190796 B E B H C B A E C
S190796 B E B H C B A E C
S190863 A C B B E x x D R
S190875 x A A B C A x C C
S190879 A A A B B x x C C
S190911 B R C D E A A E E
S190934 x x x x C x x D A
S190942 B E B B E x A D D
S190943 A x A B C x A D C
S190949 A A A C C x A C B
S190952 A B A B C A A D B
S190954 x A A C C A A D B
S190965 x C A C B A A D D
S190966 x x A A A x x A A
S190968 A B B C D x A D D
S190980 A A A B E x x C D
S190988 B E B C D A A C E
S191008 x A A A C x x A A
S191009 x A A B B A x B C
S191011 x x A B A A x B B
S191033 x B B D C x A E B
S191041 x x A B A x x A B
S191055 x A B B A A A A D
S191056 A A A C B A A E C
S191072 x A B B C A x B C
S191082 x B C B B x x C D
S191083 A A A C B A x C B
S191089 x B A B C A x D C
S191089 x B A B C A x D C
S191093 x A x A C x x C A
S191094 x A A B C x x D D
S191113 x A A B A x x A B
S191118 x A A A C A x B B
S190033 x A x A B x x A B
S190047 x A A A x x x A B
S190048 x A A B C x x B B
S190103 x A A A B x x A x
S190131 x A A A B x x C C
S190167 A B B B B x A A C
S190174 x A A B B A x A B
S190182 x B A B A A x A C
S190185 x A x A B x x C x
S190189 x A A B C x A D B
S190200 x x A A A x x A x
S190201 x B A A B A x C B
S190218 x B A B A x x x A
S190219 A B A B B A A D B
S190234 x x x x x x x x C
S190240 x A A B D A x D x
S190259 x x A x A x x x B
